NID	PE	ING	AL	AD	V	A	O	D
1	4	47298	9336	4828	1	0	0	1
2	5	41739	7490	3840	1	1	0	1
3	2	43480	9205	3624	0	1	0	1
4	3	36991	7587	4223	1	0	0	1
5	3	31259	6372	2906	1	0	0	1
6	1	34246	6871	5145	1	0	1	1
7	4	43698	9789	4377	0	1	0	1
8	2	55049	10880	4589	0	1	0	1
9	2	52371	9752	6184	1	0	0	1
10	3	33274	6507	3335	1	0	0	1
11	3	42086	8767	5219	1	0	0	1
12	3	34115	6240	3243	1	0	0	1
13	2	34306	7403	3192	1	1	0	1
14	2	36945	7396	4027	1	1	0	1
15	2	53344	10465	6383	0	0	0	1
16	3	40847	7783	3723	1	1	0	1
17	5	35899	7677	2817	1	0	0	1
18	3	42546	8181	5137	0	1	0	1
19	3	37580	7736	4491	0	1	0	1
20	2	40902	8209	3749	1	1	0	1
21	2	51243	11572	4299	0	1	0	2
22	3	41463	8675	4532	1	0	0	2
23	3	32242	6224	3258	0	0	0	2
24	3	39982	8895	2814	1	1	0	2
25	4	41524	10694	4122	1	0	0	2
26	3	36557	7455	3061	1	1	0	2
27	2	40026	7691	3284	0	0	0	2
28	3	38400	7797	4014	0	0	0	2
29	3	43282	8483	3591	1	0	0	2
30	1	40422	7734	4550	1	1	0	2
31	4	44914	9745	5599	1	0	0	3
32	3	45132	9150	4334	0	0	0	3
33	1	42784	8246	4283	1	0	0	3
34	2	42952	8056	4595	0	0	0	3
35	3	38553	8162	3491	1	1	0	3
36	4	37272	7535	3272	1	0	0	3
37	2	36197	6961	3100	1	0	0	3
38	4	41672	7656	3879	0	0	0	3
39	2	44147	9576	3663	1	1	0	3
40	2	35837	8486	3485	1	1	0	3
41	3	35255	7383	3037	1	1	0	3
42	3	38256	7781	3778	1	0	0	3
43	3	40063	8812	3914	0	0	0	3
44	3	43854	10318	3739	0	0	0	3
45	2	43094	9857	4701	1	1	0	3
46	3	44665	9362	3810	1	0	0	4
47	2	40326	8855	3608	1	0	0	4
48	4	32676	6409	3532	1	0	0	4
49	2	39957	7512	5359	0	0	0	4
50	2	42371	8130	4209	1	1	0	4
51	5	39196	8497	4515	1	0	0	4
52	3	37453	7661	4324	1	1	0	4
53	1	41680	8351	3547	0	0	0	4
54	1	39958	8243	3552	1	1	0	4
55	3	33620	6074	3178	1	1	0	4
56	6	45658	8223	5080	1	1	0	4
57	2	43913	8801	4684	1	0	0	4
58	1	30488	6399	3056	1	0	0	4
59	4	46063	8314	3755	1	1	0	4
60	2	41840	8349	5038	1	0	1	4
61	1	50378	10327	5075	1	0	0	4
62	4	46079	9967	5142	1	1	0	4
63	3	49426	9316	4376	1	1	0	4
64	4	39905	8684	4873	0	0	0	4
65	1	37015	7436	3252	1	1	0	4
66	1	39787	8181	3288	0	1	0	5
67	4	31051	6739	3430	0	0	1	5
68	4	39551	7646	3782	0	0	0	5
69	2	42076	7726	4653	1	1	0	5
70	2	47077	9582	4155	1	1	0	5
71	3	42393	9294	3243	1	0	0	5
72	4	40531	8460	4038	0	0	0	5
73	3	41843	9078	4157	1	0	0	5
74	4	38877	8167	3889	1	1	1	5
75	4	46589	9877	4873	1	1	0	5
76	2	41818	8643	3439	1	1	0	6
77	4	43092	9577	4347	1	0	0	6
78	4	42084	8738	4480	1	0	0	6
79	3	31980	6655	3308	0	0	0	6
80	4	44306	8447	5096	1	0	1	6
81	3	41973	8854	3689	0	0	0	6
82	1	35944	7870	3645	1	0	0	6
83	2	33781	6979	3163	1	0	0	6
84	4	42979	8633	4670	0	1	0	6
85	2	44014	9263	4382	1	0	0	6
86	5	42747	9240	4996	0	0	0	6
87	3	46084	10677	3198	1	0	0	6
88	4	44493	8304	4165	1	0	0	6
89	1	44916	9182	2302	0	0	0	6
90	3	41282	7779	4102	1	1	0	6
91	3	36372	7805	3553	0	0	0	7
92	5	46106	9323	4981	1	0	0	7
93	3	46845	8734	5308	1	1	0	7
94	2	51473	9618	5475	0	0	0	7
95	2	44753	8646	4746	1	0	0	7
96	3	41896	9201	4233	1	0	0	7
97	4	44893	9459	4360	1	1	1	7
98	4	38656	7261	3758	1	1	0	7
99	4	45079	9687	6574	1	0	0	7
100	1	47192	10472	5857	1	0	0	7
101	2	43406	9751	4271	1	1	0	7
102	1	40915	7916	3863	0	0	0	7
103	1	30146	5547	2634	1	1	0	7
104	3	42174	7621	4571	1	1	0	7
105	4	36860	6711	4824	0	0	0	7
106	5	37923	8882	4176	0	0	0	7
107	2	38177	7279	2812	1	0	0	7
108	3	35571	5826	3578	1	0	0	7
109	3	34980	7693	4556	1	0	0	7
110	4	39724	7717	3519	0	0	0	7
111	2	32742	5045	2912	1	0	0	8
112	2	39387	8945	4168	1	1	0	8
113	2	31778	6384	2763	0	0	0	8
114	2	43896	8687	5034	1	1	0	8
115	5	38341	7752	3420	1	0	0	8
116	3	45607	8968	5667	1	1	0	8
117	3	38213	7086	4273	1	1	0	8
118	5	36193	8005	3672	0	0	0	8
119	1	35228	6606	3684	1	0	0	8
120	1	35118	7539	2563	1	0	0	8
121	4	46370	9021	4299	0	0	0	9
122	3	42491	9194	4336	0	0	1	9
123	3	39336	7265	3913	1	0	0	9
124	1	40630	7684	3853	1	1	0	9
125	1	35166	7182	4439	1	0	0	9
126	4	38009	8414	2943	0	0	0	9
127	4	36302	8322	4657	1	0	0	9
128	1	40624	8481	3783	0	0	0	9
129	1	36440	7462	3184	0	0	0	9
130	2	42429	9808	4105	0	0	1	9
131	2	43865	10084	4690	0	0	0	9
132	2	45322	10152	4529	1	1	0	9
133	5	34705	6657	3803	1	1	0	9
134	5	45401	8139	4114	1	0	0	9
135	2	42224	8078	4246	1	0	0	9
136	2	39465	8125	3001	1	1	0	10
137	1	43499	8710	4230	1	0	0	10
138	3	35360	6729	3638	0	0	0	10
139	2	46662	10592	5239	1	1	0	10
140	1	43023	8810	4119	1	0	0	10
141	1	41807	8592	3864	1	0	0	10
142	2	46105	10466	4004	0	0	0	10
143	4	47695	9252	5200	1	0	0	10
144	3	38248	7627	2451	0	1	0	10
145	4	45978	9404	5308	0	0	0	10
146	4	34567	7088	3830	0	0	0	10
147	3	30919	6677	2516	1	1	0	10
148	4	43247	8196	4161	0	1	0	10
149	3	47655	8917	5920	1	0	0	10
150	4	44468	8559	3966	0	0	0	10
151	2	44510	9742	4816	1	1	0	10
152	4	38531	7507	4435	1	0	0	10
153	3	39294	7287	3749	1	1	0	10
154	4	36416	7109	3806	1	0	0	10
155	2	43486	9921	4050	1	1	0	10
156	1	48492	10107	3719	1	1	1	11
157	3	41733	8231	3592	0	0	0	11
158	2	39962	7242	4576	1	1	0	11
159	4	36127	7646	3575	1	0	0	11
160	1	34850	7713	4055	1	0	0	11
161	3	40885	8507	2977	0	0	0	11
162	2	41855	7113	3630	1	1	0	11
163	3	36794	6299	3530	1	1	0	11
164	2	42090	7904	3856	0	1	1	11
165	3	36791	7476	2944	0	0	0	11
166	5	32687	6357	2681	1	0	1	12
167	4	37867	8652	3870	0	0	0	12
168	2	42886	7622	4527	1	0	0	12
169	3	36176	7990	3679	1	0	0	12
170	3	31632	5943	2194	1	1	0	12
171	3	43218	8933	3739	1	0	0	12
172	2	39265	7801	3178	1	0	0	12
173	3	47377	10061	4175	1	0	0	12
174	2	36757	7695	4355	0	0	1	12
175	2	38251	7879	3460	1	1	0	12
176	4	45419	9048	3745	0	0	0	12
177	3	32305	5190	3239	0	1	0	12
178	2	34327	6863	3273	1	1	0	12
179	6	43726	7586	3571	0	0	0	12
180	3	33119	6765	2836	0	1	0	12
181	3	50161	11480	5371	1	1	0	13
182	3	35562	7419	3060	0	0	0	13
183	1	40527	9329	3424	1	0	0	13
184	3	40665	7960	5061	1	1	0	13
185	2	37571	8659	3713	1	0	0	13
186	3	44262	8656	5269	1	0	0	13
187	2	42587	8328	4256	0	0	0	13
188	3	46309	9587	5368	0	1	0	13
189	5	34832	7608	2837	1	1	1	13
190	2	33757	6005	3761	0	0	0	13
191	3	50132	9851	3822	0	1	0	13
192	1	52082	11613	3612	1	0	0	13
193	1	37964	7521	3225	0	0	1	13
194	2	31611	6250	2985	1	1	1	13
195	4	30458	6422	2637	1	1	0	13
196	1	48979	9845	5538	1	1	0	13
197	4	41246	8817	4574	0	0	0	13
198	1	35507	7762	4029	0	0	0	13
199	4	48402	8637	3665	0	1	0	13
200	4	39421	8554	4000	1	0	0	13
201	3	39931	8833	4287	0	0	0	14
202	4	33774	6607	3301	1	0	0	14
203	2	38720	7744	3177	0	0	0	14
204	5	32941	6715	3134	0	0	0	14
205	1	42823	9612	3248	0	1	0	14
206	1	38974	7732	3905	0	1	0	14
207	5	37536	6802	3807	1	1	0	14
208	2	41035	8156	3975	1	0	1	14
209	1	34403	7884	3914	0	0	0	14
210	4	32990	6262	3069	0	1	0	14
211	3	40065	8389	3788	1	0	0	15
212	2	47102	9765	4542	1	1	0	15
213	4	36198	7612	4422	1	1	1	15
214	2	37064	7945	2919	1	1	0	15
215	2	46800	10098	4658	1	1	1	15
216	1	47429	11559	5310	0	0	0	15
217	4	42070	7832	5770	0	0	0	15
218	4	45204	8664	4849	0	0	0	15
219	4	45330	8757	5030	1	1	1	15
220	2	39142	8043	4326	0	0	0	15
221	5	32121	6463	3676	1	1	0	15
222	4	49417	9277	3692	1	1	1	15
223	1	44998	8488	4144	1	0	0	15
224	3	36070	7955	4008	1	1	0	15
225	1	44901	9784	4313	1	1	0	15
226	4	40188	8523	4964	1	0	0	16
227	2	36582	6399	2997	0	0	0	16
228	1	43451	8712	4229	1	1	0	16
229	3	42600	8956	4177	1	1	0	16
230	2	40653	8978	4467	1	0	0	16
231	4	34173	6934	3540	1	0	0	16
232	3	47436	9019	4888	1	1	0	16
233	3	43918	8392	4108	1	0	0	16
234	4	49450	10222	4489	0	0	0	16
235	4	41808	8649	3686	1	1	0	16
236	1	39555	7037	3510	1	1	0	16
237	4	46666	9133	5199	1	1	0	16
238	3	37994	7365	3442	0	0	0	16
239	3	37212	6738	3399	0	1	1	16
240	2	35229	5867	3730	0	1	0	16
241	1	36608	6744	3128	1	0	0	16
242	3	40909	8895	4045	1	1	0	16
243	5	36336	7305	3755	1	1	1	16
244	3	35889	7577	3933	0	1	0	16
245	1	39480	9076	3932	1	1	0	16
246	2	38268	8935	4441	1	0	0	17
247	3	42005	9338	4404	1	0	0	17
248	1	35020	7008	3594	0	1	0	17
249	3	41243	8016	4243	0	0	0	17
250	4	45274	9095	4040	0	0	0	17
251	2	40604	9541	3940	0	1	0	17
252	2	42380	8027	4639	0	0	0	17
253	3	42576	9677	5134	1	0	1	17
254	3	48097	8888	4592	1	0	1	17
255	4	39953	8221	3777	0	0	0	17
256	3	48089	10060	4481	1	1	0	18
257	5	31991	6703	3139	0	0	0	18
